scientificname
?Agastoschizomus n.sp.
Anguispira nimapuna
Anguispira picta
Anhinga anhinga
Aniculus hopperae
Anillinus sp.
Anisodoris prea
Anisopsammia ampheiliodes
Anisota oslari
Anisota stigma
Anisotremus surinamensis
Anisotremus virginicus
Aniulus orientalis
Ankylocythere tridentata
Ankyrodilus legaeus
Annelida
Anniella pulchra nigra
Anniella pulchra pulchra
Anodonta beringiana
Anodonta californiensis
Anodonta couperiana
Anodonta heardi
Anodonta implicata
Anodonta kennerlyi
Anodonta nuttalliana
Anodonta oregonensis
Anodonta suborbiculata
Anodonta wahlametensis
Anodontoides denigratus
Anodontoides ferussacianus
Anodontoides radiatus
Anolis acutus
Anolis carolinensis
Anolis cooki
Anolis cristatellus
Anolis cuvieri
Anolis occultus
Anolis poncensis
Anolis pulchellus
Anolis roosevelti
Anolis stratulus
Anomala carlsoni
Anomala exigua
Anomala eximia
Anomala flavipennis okaloosensis
Anomala hardyorum
Anomala robinsoni
Anomia simplex
Anomobryum filiforme
Anomogyna rhaetica
Anopheles albimanus
Anoplodactylus lentus
Anoplodactylus petiolatus
Anoplodactylus pygmaeus
Anostraca
Anous minutus
Anous stolidus
Anser albifrons elgasi
Anser albifrons gambeli
Antecardina lauensis
Antennarius commersoni
Antennarius striatus
Anthanassa frisia
Anthanassa texana seminole
Anthelia edmondsoni
Anthemiphyllia pacifica
Anthicus sacramento
Anthocharis midea
Anthocharis sara alaskensis
Anthophorula ignota
Anthopotamus verticis
Anthracothorax dominicus
Anthracothorax viridis
Anthrobia mammouthia
Anthrobia monmouthia
Anthus rubescens
Anthus spragueii
Antidesma platyphyllum
Antilocapra americana
Antilocapra americana americana
Antilocapra americana sonoriensis
Antipatharia
Antipathes barbadensis
Antipathes dichotoma
Antipathes grandis
Antipathes intermedia
Antipathes pennacea
Antipathes punctata
Antipathes subpinnata
Antipathes undulata
Antithamnion erucacladellum
Antrobia culveri
Antrodiaetus robustus
Antrolana lira
Antroselatus spiralis
Antrozous pallidus
Anurida maritima
Apainea lutosa
Apalone ferox
Apalone mutica
Apalone mutica calvata
Apalone mutica mutica
Apalone spinifera
Apalone spinifera aspera
Apalone spinifera hartwegi
Apalone spinifera spinifera
Apamea (Agroperina) lutosa
Apamea (Crymodes) relicina
Apamea alia
Apamea burgessi
Apamea cristata
Apamea impulsa
Apamea indocilis
Apamea inebriata
Apamea inordinata
Apamea lignicolora
Apamea mixta
Apamea plutonia
Apamea smythi
Apatania blacki
Apeltes quadracus
Apenes sp. UASM 11
Aphaenogaster punctaticeps
Aphanorrhegma serratum
Aphaostracon asthenes
Aphaostracon chalarogyrus
Aphaostracon monas
Aphaostracon pycnum
Aphaostracon theiocrenetum
Aphaostracon xynoelictum
Apharetra dentata
Aphareus rutlians
Aphelochaeta marioni
Aphelochaeta sp.
Aphelocoma californica
Aphelocoma californica cana
Aphelocoma coerulescens
Aphelocoma insularis
Aphelonema simplex
Apheloria virginiensis
Aphodius troglodytes
Aphrastochthonius grubbsi
Aphrastochthonius pachysetus
Aphredoderus sayanus
Aphredoderus sayanus gibbosus
Aphriza virgata
Aphylla williamsoni
Apidoscelis sexlineatus
Apion aculeatum (Fall)
Apion buchanani (Kissinger)
Apldium spp.
Aplectoides condita
Aplectrum hyemale
Aplexa elongata
Aplidium constellatum
Aplidium crateriferum
Aplidium sp.
Aplidium stellatum
Aplodinotus grunniens
Aplodontia rufa californica
Aplodontia rufa nigra
Aplodontia rufa phaea
Aplonis atrifusca
Aplonis opaca guami
Aplonis tabuensis
Aplysia brasiliana
Aplysia dactylomela
Aplysilla sulphurea
Apobaetis etowah
Apocheiridium reddelli
Apochthonius coecus
Apochthonius diabolus
Apochthonius hobb
Apochthonius holsingeri
Apochthonius indianensis
Apochthonius malheuri
Apochthonius mysterius
Apochthonius paucispinosus
Apochthonius titanicus
Apochthonius typhlus
Apocorophium acutum
Apocorophium lacustre
Apocorophium simile
Apodemia chisosensis
Apodemia mormo langei
Apodrepanulatrix liberaria
Apogon aurolineatus
Apogon binotatus
Apogon lachneri
Apogon maculatus
Apogon maculiferus
Apogon planifrons
Apogon pseudomaculatus
Apogon quadrisquamatus
Apogon townsendi
Apolemichthys arcuatus
Appalachia arcana
Appalachia hebardi
Appalachina sayana
Appaleptoneta sp.
Appaleptoneta sp. 1
Appias drusilla neumoegeni
Aprion virescens
Apristus latens
Apsectrotanypus johnsoni
Apteromechus texanus
Aquila chrysaetos
Arabella iricolor
Arabella mutans
Arabis drummondii
Arabis georgiana
Arabis glabra
Arabis lyrata
Arabis macdonaldiana
Arabis missouriensis
Arabis shortii
Araiophos gracilis
Aralia nudicaulis
Aralia racemosa
Aramus guarauna
Araneae
Araneus groenlandicola
Aratus pisonii
Arbacia punctulata
Arborimus albipes
Arborimus longicaudus
Arborimus pomo
Arceuthobium pusillum
Archaeogastropoda
Archaeognatha
Archanara laeta
Archanara subflava
Archeolarca aalbui
Archeolarca guadalupensis
Archidistoma aggregatum
Archidium alternifolium
Archilestes grandis
Archilochus alexandri
Archilochus colubris
Archoplites interruptus
Archosargus probatocephalus
Arcidens confragosus
Arctocephalus townsendi
Arctosa rubicunda
Arctostaphylos uva-ursi
Arcynopteryx compacta
Ardea alba
Ardea herodias
Ardea herodias fannini
Ardea herodias occidentalis
Ardeadoris scottjohnsoni
Arenaeus cribrarius
Arenaria interpres
Arenaria lateriflora
Arenaria melanocephala
Arenicola cristata
Areniscythris brachypteris
Arethusa bulbosa
Argia alberta
Argia apicalis
Argia bipunctulata
Argia emma
Argia moesta
Argia plana
Argia sedula
Argia tibialis
Argia translata
Argiacris amissuli
Argiacris keithi
Argiacris militaris
Argillophora furcilla
Argochrysis lassenae
Argopecten irradians
Argusia gnaphalodes
Argyripnus brocki
Argyrostrotis anilis
Argyrostrotis quadrifilaris
Argyroxiphium kauense
Argyroxiphium sandwicense subsp. macrocephalum
Argyroxiphium sandwicense subsp. sandwicense
Arianops copelandi
Arianops jeanneli
Arianops sandersoni
Aricidea bryani
Aricidea fragilis
Aricidea wassi
Arigomphus furcifer
Arigomphus submedianus
Arigomphus villosipes
Arisaema dracontium
Aristida adscensionis
Aristida desmantha
Aristida lanosa
Aristida longispica
Aristida purpurascens
Aristida ramosissima
Aristida simpliciflora
Aristotelia elegantella
Arius felis
Arizona elegans
Arkansia wheeleri
Armandia agilis
Armandia maculata
Armases cinereum
Armina tigrina
Arnoglossum atriplicifolium
Arnoglossum diversifolium
Arnoglossum sulcatum
Aronia melanocarpa
Arphia conspersa
Arphia pseudonietana
Arphia simplex
Arphia xanthoptera
Arrhopalites bimus
Arrhopalites caedus
Arrhopalites carolynae
Arrhopalites clarus
Arrhopalites commorus
Arrhopalites lacuna
Arrhopalites marshalli
Arrhopalites pavo
Arrhopalites sacer
Arrhopalites silvus
Arrhopalites sp 1
Arrhopalites sp 2
Arrhopalites sp 3
Arrhopalites sp.
Arrhyton exiguum
Artace cribraria
Artemia franciscana
Artemia monica
Artemisia campestris ssp. borealis
Artemisia campestris ssp. caudata
Artemisia campestris var. wormskioldii
Artemisia carruthii
Artemisia dracunculus
Artesia subterranea
Arthroplea bipunctata
Arthropoda
Artibeus jamaicensis
Asabellides sp. A
Ascaphus montanus
Ascaphus truei
Ascia monuste
Ascidia interrupta
Ascidiella aspersa
Asclepias amplexicaulis
Asclepias asperula var. decumbens
Asclepias lanuginosa
Asclepias meadii
Asclepias purpurascens
Asclepias speciosa
Aseraggodes borehami
Aseraggodes holcomi
Aseraggodes therese
Ashmeadiella chumashae
Ashmunella animasensis
Ashmunella ashmuni
Ashmunella hebardi
Ashmunella kochii caballoensis
Ashmunella macromphala
Ashmunella mearnsii
Ashmunella mendax
Ashmunella thomsoniana
Asio flammeus
Asio flammeus sandwichensis
Asio otus
Asioplax dolani
Asioplax edmundsi
Aspidocelis dixoni
Aspidoscelis arizonae
Aspidoscelis burti stictogrammus
Aspidoscelis burti xanthonota
Aspidoscelis dixoni
Aspidoscelis hyperythra beldingi
Aspidoscelis pai
Aspidoscelis tigris stejnegeri
Aspidoscelis velox
Aspiromitus punctatus ssp. agrestis
Asplenium heterochroum
Asplenium heteroresiliens
Asplenium montanum
Asplenium peruvianum var. insulare
Asplenium platyneuron
Asplenium trichomanes-ramosum
Assiminea infima
Assiminea pecos
Astelia menziesiana
Astelia waialealae
Aster avitus
Aster curtus
Aster eryngiifolius
Aster georgianus
Aster jonesiae
Aster ptarmicoides
Aster sagittifolius
Aster vialis
Aster vimineus
Asterias forbesii
Asterias spp.
Asteriidae
Asterocampa celtis
Asterocampa clyton
Asteroporpa annulata
Astomum muhlenbergianum
Astomum phascoides
Astragalus agrestis
Astragalus applegatei
Astragalus barrii
Astragalus canadensis
Astragalus collinus var. laurentii
Astragalus diaphanus var. diurnus
Astragalus hyalinus
Astragalus lotiflorus
Astragalus michauxii
Astragalus mulfordiae
Astragalus peckii
Astragalus pectinatus
Astragalus robbinsii var. jesupii
Astragalus robbinsii var. minor
Astragalus sterilis
Astragalus tyghensis
Astralium phoebium
Astrangia poculata
Astrangia solitaria
Astranthium ciliatum
Astrapogon alutus
Astrapogon puncticulatus
Astrapogon stellatus
Astrophyton muricatum
Astroscopus guttatus
Astroscopus y-graecum
Asturina nitida maxima
Astyanax mexicanus
Astyris lunata
Asychis elongata
Asynarchus montanus
Asynarchus rossi
Atascosa glareosella
Ataxia tibialis
Aterpia approximana
Athalamia hyalina
Athearnia anthonyi
Athene cunicularia
Athene cunicularia floridana
Athene cunicularia hypugaea
Atherinomorus insularum
Atheta annexa
Atheta lucifuga
Atheta troglophila
Athyrium microphyllum
Atlantea tulita
Atlanticus davisi
Atlides halesus
Atractelmis wawona
Atractosteus spatula
Atranus pubescens
Atrichum crispulum
Atrichum crispum
Atrichum cylindricum
Atrichum tenellum
Atriplex suckleyi
Atrytone arogos
Atrytone arogos arogos
Atrytone arogos iowa
Atrytonopsis deva
Atrytonopsis hianna
Atrytonopsis loammi
Atrytonopsis lunus
Attaneuria ruralis
Attenella attenuata
Attenuipyga vanduzeei
Attheyella obatogamensis
Attheyella spinipes
Attheyella villosipes
Atyidae
Atylotus ohioensis
Atylus minikoi
Atyoida bisulcata
Aulacomnium androgynum
Aulostomus maculatus
Aulotrachichthys heptalepis
Aurelia aurita
Aureolaria flava
Aureolaria patula
Aureolaria pedicularia
Aureolaria virginica
Auridius helvus
Auriparus flaviceps
Austinixa cristata
Austrotyla montani
Autochton cellus
Autolytus dentalius
Autolytus fasciatus
Autolytus prolifera
Automeris io neomexicana
Automeris zephyria
Auturus erythropygos
Awaous banana
Awaous guamensis
Axiothella mucosa
Aythya affinis
Aythya americana
Aythya collaris
Aythya marila
Aythya valisineria
Azolla caroliniana
Bactrurus angulus
Bactrurus brachycaudus
Bactrurus hubrichti
Bactrurus pseudomucronatus
Badister transversus
Baeolophus bicolor
Baeolophus inornatus
Baeolophus ridgwayi
Baetis rusticans
Baetisca becki
Baetisca lacustris
Baetisca obesa
Baetisca rogersi
Baetisca rubescens
Bagisara gulnare
Bagisara rectifascia
Bagre marinus
Baiomys taylori
Baiomys taylori ater
Bairdiella batabana
Bairdiella chrysoura
Bairdiella sanctaeluciae
Balaena mysticetus
Balaenoptera acutorostrata
Balaenoptera bonaerensis
Balaenoptera borealis
Balaenoptera edeni
Balaenoptera musculus
Balaenoptera physalus
Balanoglossus aurantiacus
Balanoglossus gigas
Balanophyllia desmophylloides
Balanophyllia diomedeae
Balanophyllia hawaiiensis
Balanophyllia laysanensis
Balanophyllia sp.
Balanus eburneus
Balanus improvisus
Balanus subalbidus
Balanus venustus
Balduina atropurpurea
Baliosus sp. EGR 1
Balistes capriscus
Balistes vetula
Bankia gouldii
Banksiola dossuaria
Banksula californica
Banksula galilei
Banksula grubbsi
Banksula incredula
Banksula martinorum
Banksula melones
Banksula rudolphi
Banksula tuolumne
Banksula tutankhamen
Baptisia arachnifera
Baptisia australis var. aberrans
Baptisia megacarpa
Barbaetis benfieldi
Barbicambarus cornutus
Barbilophozia hatcheri
Barbula convoluta var. convoluta
Barentsia laxa
Barnea truncata
Barracris petraea
Barronopsis jeffersi
Bartholomea annulata
Bartonia paniculata ssp. paniculata
Bartonia virginica
Bartramia longicauda
Baseodiscus cingulatus
Basilia boardmani
Basilodes pepita
Bassariscus astutus
Bastardiopsis eggersii
Batea catharinensis
Bathyactis hawaiiensis
Bathycongrus aequorea
Bathygadus bowersi
Bathyphantes weyeri
Bathyporeia parkeri
Batrachoseps campi
Batrachoseps diabolicus
Batrachoseps gabrieli
Batrachoseps kawia
Batrachoseps major aridus
Batrachoseps pacificus pacificus
Batrachoseps regius
Batrachoseps relictus
Batrachoseps robustus
Batrachoseps simatus
Batrachoseps sp. 1
Batrachoseps stebbinsi
Batrachoseps wrighiorum
Batrachospermum spermatiophorum
Batriasymmodes jeanneli
Batriasymmodes quisnamus
Batrisodes (Babnormodes) feminiclypeus
Batrisodes (Babnormodes) gravesi (Chandler and
Batrisodes (Babnormodes) wartoni (Chandler and
Batrisodes (Excavodes) cryptotexanus (Chandler a
Batrisodes (Excavodes) globosus (LeConte)
Batrisodes barri
Batrisodes clypeonotus
Batrisodes clypeospecus
Batrisodes ferulifer
Batrisodes gemmoides
Batrisodes gemmus
Batrisodes grubbsi
Batrisodes krekeleri
Batrisodes pannosus
Batrisodes reyesi
Batrisodes texanus
Batrisodes uncicornis
Batrisodes valentinei
Batrisodes venyivi
Battus philenor
Bazzania trilobata
Bdelloura candida
Beameria venosa
Beckmannia syzigachne
Bellura densa
Bellura grotynoides
Belocephalus micanopy
Belocephalus sleighti
Beloneuria georgiana
Belostoma lutarium
Belostoma saratogae
Bembidion affine
Bembidion carinula
Bembidion confusum
Bembidion cordatum
Bembidion grapei
Bembidion lacunarium
Bembidion muscicola
Bembidion mutatum
Bembidion planum
Bembidion pseudocautum
Bembidion quadratulum
Bembidion robusticolle
Bembidion rolandi
Bembidion rufortinctum
Bembidion semicinctum
Bembidion simplex
Bembidion tetracolum
Bemlos unicornis
Beothukus complicatus
Berardius bairdii
Berberis canadensis
Berghia benteva
Berghia coerulescens
Bergia texana
Berginus sp. EGR 1
Berosus aculeatus
Berosus infuscatus
Berosus pantherinus
Berosus stylifer
Berula erecta var. incisum
Bethbilbeckia floridensis
Betula occidentalis
Bhawania goodei
Bhawania heteroseta
Bibloplectus chickasaw
Bidens campylotheca subsp. waihoiensis
Bidens hillebrandiana subsp. hillebrandiana
Bidens laevis
Bidens micrantha subsp. ctenophylla
Bidens micrantha subsp. kalealaha
Bidens polylepis
Bidens spp.
Bidens wiebkei
Bidesmida morrisoni
Biffarius biformis
Bimeria brevis
Binneya notabilis
Birgella subglobosus
Birgus latro
